ts,strategy,strategy_version,config_version,feature_version,mode,asset,market_id,window,direction,elapsed,remaining_sec,reference_price,current_price,move_pct,entry_price,bid,ask,spread,depth_usd,imbalance,confidence,regime,entry_bucket,move_bucket,elapsed_bucket,decision,decision_reason,risk_gate,size_requested,size_granted,execution_state,execution_quality,filled_shares,remaining_shares,average_fill_price,slippage,resolution,hypothetical_pnl,realized_pnl,bankroll,exposure,open_positions,meta
2026-08-30T16:18:53.661649+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,SOL,3976054,5m,DOWN,0.7789,66.3,107.02,106.88,-0.1308,0.6,0.55,0.6,0.05,2645.35,-0.3802,0.773,,,,,ACCEPT,в пределах лимитов,,50.0,50.0,SHADOW,,,,,,WIN,33.33,,1000.0,50.0,1,{"reason": "движение -0.131% ≥ 0.12%; вход 0.600"; "required_move": 0.0012; "elapsed": 0.779}
2026-08-31T08:18:52.170084+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,XRP,3995592,5m,DOWN,0.7739,67.8,1.3718,1.3701,-0.1239,0.5,0.49,0.5,0.01,857.61,-0.8786,0.769,,,,,ACCEPT,в пределах лимитов,,50.0,50.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.124% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.774}
2026-08-31T08:18:52.170084+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,SOL,3995583,5m,DOWN,0.7739,67.8,102.765,102.66,-0.1022,0.5,0.49,0.5,0.01,775.24,-0.868,0.763,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.102% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.774}
2026-08-31T08:19:07.170219+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,XRP,3995592,5m,DOWN,0.8239,52.8,1.3718,1.3703,-0.1093,0.5,0.49,0.5,0.01,416.52,-0.8555,0.78,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.109% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.824}
2026-08-31T08:19:22.170343+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,SOL,3995583,5m,DOWN,0.8739,37.8,102.765,102.65,-0.1119,0.5,0.49,0.5,0.01,339.1,-0.8283,0.796,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.112% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.874}
2026-08-31T08:19:22.170343+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,XRP,3995592,5m,DOWN,0.8739,37.8,1.3718,1.3696,-0.1604,0.5,0.49,0.5,0.01,416.52,-0.8555,0.81,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.160% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.874}
2026-08-31T08:26:22.173991+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,XRP,3995584,15m,DOWN,0.758,217.8,1.3718,1.3679,-0.2843,0.5,0.49,0.5,0.01,33.47,-0.097,0.813,,,,,ACCEPT,в пределах лимитов,,50.0,50.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.284% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.758}
2026-08-31T08:26:22.173991+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,BTC,3995591,15m,DOWN,0.758,217.8,78146.51,78056.33,-0.1154,0.51,0.5,0.51,0.01,1006.19,-0.9202,0.762,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,48.04,,1000.0,50.0,1,{"reason": "движение -0.115% ≥ 0.10%; вход 0.510"; "required_move": 0.001; "elapsed": 0.758}
2026-08-31T08:26:22.173991+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,ETH,3995593,15m,DOWN,0.758,217.8,2440.17,2435.44,-0.1938,0.5,0.49,0.5,0.01,117.02,-0.6001,0.786,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.194% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.758}
2026-08-31T08:26:22.173991+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,SOL,3995594,15m,DOWN,0.758,217.8,102.765,102.63,-0.1314,0.54,0.46,0.54,0.08,37.57,-0.8097,0.767,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,LOSS,-50.0,,1000.0,50.0,1,{"reason": "движение -0.131% ≥ 0.10%; вход 0.540"; "required_move": 0.001; "elapsed": 0.758}
2026-08-31T08:26:37.174108+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,SOL,3995594,15m,DOWN,0.7746,202.8,102.765,102.66,-0.1022,0.54,0.46,0.54,0.08,37.57,-0.8097,0.763,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,LOSS,-50.0,,1000.0,50.0,1,{"reason": "движение -0.102% ≥ 0.10%; вход 0.540"; "required_move": 0.001; "elapsed": 0.775}
