move_id,detected_at,market_id,asset,window,move_start,initial_move,duration_so_far_sec,acceleration_so_far,elapsed_at_detect,direction,entry_ask_at_detect,volatility_at_detect,outcome_ready,move_end,move_duration_sec,max_continuation,max_reversal,time_to_reversal_sec,final_direction,resolution,schema_version,collector_version
4353371@1788920582,2026-09-09T02:23:02.599100+00:00,4353371,ETH,5m,2026-09-09T02:20:00+00:00,0.000508,182.6,,0.6087,UP,0.49,,1,2026-09-09T02:25:00+00:00,117.4,0.001795,0.000508,,UP,CONTINUED,2,0.1.0
4353374@1788920582,2026-09-09T02:23:02.599100+00:00,4353374,XRP,5m,2026-09-09T02:20:00+00:00,0.000849,182.6,,0.6087,UP,0.48,,1,2026-09-09T02:25:00+00:00,117.4,0.002687,0.000849,,UP,CONTINUED,2,0.1.0
4353375@1788920582,2026-09-09T02:23:02.599100+00:00,4353375,SOL,5m,2026-09-09T02:20:00+00:00,0.000918,182.6,,0.6087,UP,0.6,,1,2026-09-09T02:25:00+00:00,117.4,0.002464,0.000918,,UP,CONTINUED,2,0.1.0
4353328@1788920537,2026-09-09T02:22:17.598741+00:00,4353328,SOL,15m,2026-09-09T02:15:00+00:00,-0.001689,437.6,,0.4862,DOWN,0.9,,1,2026-09-09T02:30:00+00:00,462.4,-0.001689,0.00111,60.000476,DOWN,CONTINUED,2,0.1.0
4353336@1788920537,2026-09-09T02:22:17.598741+00:00,4353336,XRP,15m,2026-09-09T02:15:00+00:00,-0.001307,437.6,,0.4862,DOWN,0.85,,1,2026-09-09T02:30:00+00:00,462.4,-0.001377,0.001519,60.000476,UP,REVERSED,2,0.1.0
4353343@1788920537,2026-09-09T02:22:17.598741+00:00,4353343,ETH,15m,2026-09-09T02:15:00+00:00,-0.001008,437.6,,0.4862,DOWN,0.86,,1,2026-09-09T02:30:00+00:00,462.4,-0.001008,0.001201,60.000476,UP,REVERSED,2,0.1.0
4353379@1788920822,2026-09-09T02:27:02.601047+00:00,4353379,XRP,5m,2026-09-09T02:25:00+00:00,-0.001095,122.6,,0.4087,DOWN,0.97,,1,2026-09-09T02:30:00+00:00,177.4,-0.001165,0.000177,150.001282,UP,REVERSED,2,0.1.0
4353380@1788920837,2026-09-09T02:27:17.601166+00:00,4353380,SOL,5m,2026-09-09T02:25:00+00:00,-0.000772,137.6,,0.4587,DOWN,0.94,,1,2026-09-09T02:30:00+00:00,162.4,-0.001158,-9.6e-05,,DOWN,CONTINUED,2,0.1.0
4353338@1788920537,2026-09-09T02:22:17.598741+00:00,4353338,BTC,15m,2026-09-09T02:15:00+00:00,-0.001031,437.6,,0.4862,DOWN,0.87,,1,2026-09-09T02:30:00+00:00,462.4,-0.001031,0.000604,75.000597,UP,REVERSED,2,0.1.0
4353395@1788921122,2026-09-09T02:32:02.603660+00:00,4353395,SOL,5m,2026-09-09T02:30:00+00:00,0.000724,122.6,,0.4087,UP,0.73,,1,2026-09-09T02:35:00+00:00,177.4,0.001594,0.000338,,UP,CONTINUED,2,0.1.0
4353402@1788921122,2026-09-09T02:32:02.603660+00:00,4353402,XRP,5m,2026-09-09T02:30:00+00:00,0.000847,122.6,,0.4087,UP,0.92,,1,2026-09-09T02:35:00+00:00,177.4,0.002259,0.000847,,UP,CONTINUED,2,0.1.0
4353387@1788921182,2026-09-09T02:33:02.604103+00:00,4353387,ETH,5m,2026-09-09T02:30:00+00:00,0.000597,182.6,,0.6087,UP,0.77,0.00013829,1,2026-09-09T02:35:00+00:00,117.4,0.000597,-0.000349,45.000368,DOWN,REVERSED,2,0.1.0
4353489@1788921467,2026-09-09T02:37:47.606567+00:00,4353489,SOL,5m,2026-09-09T02:35:00+00:00,0.000627,167.6,,0.5587,UP,0.7,,1,2026-09-09T02:40:00+00:00,132.4,0.000627,4.8e-05,,UP,CONTINUED,2,0.1.0
4353391@1788921362,2026-09-09T02:36:02.605698+00:00,4353391,SOL,15m,2026-09-09T02:30:00+00:00,0.000724,362.6,,0.4029,UP,0.57,,1,2026-09-09T02:45:00+00:00,537.4,0.001883,0.000241,,UP,CONTINUED,2,0.1.0
4353398@1788921362,2026-09-09T02:36:02.605698+00:00,4353398,XRP,15m,2026-09-09T02:30:00+00:00,0.001553,362.6,,0.4029,UP,0.83,,1,2026-09-09T02:45:00+00:00,537.4,0.003036,0.000847,,UP,CONTINUED,2,0.1.0
4353394@1788921617,2026-09-09T02:40:17.607747+00:00,4353394,ETH,15m,2026-09-09T02:30:00+00:00,-0.000637,617.6,0.9099,0.6862,DOWN,0.84,0.00016163,1,2026-09-09T02:45:00+00:00,282.4,-0.000637,0.000529,150.001192,UP,REVERSED,2,0.1.0
4353901@1788921752,2026-09-09T02:42:32.608824+00:00,4353901,XRP,5m,2026-09-09T02:40:00+00:00,0.000634,152.6,,0.5087,UP,0.83,,1,2026-09-09T02:45:00+00:00,147.4,0.001198,0.000493,,DOWN,REVERSED,2,0.1.0
4353904@1788921827,2026-09-09T02:43:47.609380+00:00,4353904,ETH,5m,2026-09-09T02:40:00+00:00,0.000523,227.6,0.2329,0.7587,UP,0.98,0.00011324,1,2026-09-09T02:45:00+00:00,72.4,0.000856,0.000523,,UP,CONTINUED,2,0.1.0
4353902@1788921842,2026-09-09T02:44:02.609494+00:00,4353902,SOL,5m,2026-09-09T02:40:00+00:00,0.000724,242.6,0.3634,0.8087,UP,0.99,0.00025039,1,2026-09-09T02:45:00+00:00,57.4,0.000917,0.000627,,UP,CONTINUED,2,0.1.0
4355489@1788927748,2026-09-09T04:22:28.618642+00:00,4355489,SOL,5m,2026-09-09T04:20:00+00:00,0.001303,148.6,,0.4954,UP,0.92,,1,2026-09-09T04:25:00+00:00,151.4,0.00246,0.001303,,UP,CONTINUED,2,0.1.0
4355491@1788927748,2026-09-09T04:22:28.618642+00:00,4355491,ETH,5m,2026-09-09T04:20:00+00:00,0.001204,148.6,,0.4954,UP,0.95,,1,2026-09-09T04:25:00+00:00,151.4,0.001405,0.000864,,UP,CONTINUED,2,0.1.0
4355495@1788927748,2026-09-09T04:22:28.618642+00:00,4355495,XRP,5m,2026-09-09T04:20:00+00:00,0.00228,148.6,,0.4954,UP,0.99,,1,2026-09-09T04:25:00+00:00,151.4,0.004384,0.00228,,UP,CONTINUED,2,0.1.0
4355279@1788927748,2026-09-09T04:22:28.618642+00:00,4355279,ETH,15m,2026-09-09T04:15:00+00:00,0.000769,448.6,,0.4985,UP,0.8,,1,2026-09-09T04:30:00+00:00,451.4,0.000969,0.000112,,UP,CONTINUED,2,0.1.0
4355280@1788927748,2026-09-09T04:22:28.618642+00:00,4355280,SOL,15m,2026-09-09T04:15:00+00:00,0.001206,448.6,,0.4985,UP,0.87,,1,2026-09-09T04:30:00+00:00,451.4,0.003232,0.001206,,UP,CONTINUED,2,0.1.0
4355290@1788927748,2026-09-09T04:22:28.618642+00:00,4355290,XRP,15m,2026-09-09T04:15:00+00:00,0.003371,448.6,,0.4985,UP,0.98,,1,2026-09-09T04:30:00+00:00,451.4,0.005548,0.002739,,UP,CONTINUED,2,0.1.0
4355941@1788928033,2026-09-09T04:27:13.621175+00:00,4355941,XRP,5m,2026-09-09T04:25:00+00:00,-0.001606,133.6,,0.4454,DOWN,0.91,,1,2026-09-09T04:30:00+00:00,166.4,-0.002793,-0.001606,,DOWN,CONTINUED,2,0.1.0
4355940@1788928063,2026-09-09T04:27:43.621436+00:00,4355940,ETH,5m,2026-09-09T04:25:00+00:00,-0.000558,163.6,,0.5454,DOWN,0.86,,1,2026-09-09T04:30:00+00:00,136.4,-0.000726,0.00011,30.000289,DOWN,CONTINUED,2,0.1.0
4355943@1788928108,2026-09-09T04:28:28.621870+00:00,4355943,SOL,5m,2026-09-09T04:25:00+00:00,0.00077,208.6,0.2998,0.6954,UP,0.98,0.00017214,1,2026-09-09T04:30:00+00:00,91.4,0.00077,0.000192,,UP,CONTINUED,2,0.1.0
4355272@1788927748,2026-09-09T04:22:28.618642+00:00,4355272,BTC,15m,2026-09-09T04:15:00+00:00,0.000564,448.6,,0.4985,UP,0.77,,1,2026-09-09T04:30:00+00:00,451.4,0.001428,0.000506,,UP,CONTINUED,2,0.1.0
4355950@1788928378,2026-09-09T04:32:58.624396+00:00,4355950,XRP,5m,2026-09-09T04:30:00+00:00,0.000735,178.6,,0.5954,UP,0.83,,1,2026-09-09T04:35:00+00:00,121.4,0.000945,0.000245,,UP,CONTINUED,2,0.1.0
4355954@1788928453,2026-09-09T04:34:13.625065+00:00,4355954,SOL,5m,2026-09-09T04:30:00+00:00,-0.000626,253.6,0.3335,0.8454,DOWN,,0.00013398,1,2026-09-09T04:35:00+00:00,46.4,-0.000626,0.000241,30.000249,UP,REVERSED,2,0.1.0
4356008@1788928693,2026-09-09T04:38:13.627163+00:00,4356008,SOL,5m,2026-09-09T04:35:00+00:00,0.000529,193.6,,0.6454,UP,0.97,0.00018468,1,2026-09-09T04:40:00+00:00,106.4,0.000914,0.000241,,UP,CONTINUED,2,0.1.0
4356007@1788928753,2026-09-09T04:39:13.627749+00:00,4356007,ETH,5m,2026-09-09T04:35:00+00:00,0.000504,253.6,0.3204,0.8454,UP,,8.222e-05,1,2026-09-09T04:40:00+00:00,46.4,0.000508,-7.2e-05,30.000211,DOWN,REVERSED,2,0.1.0
4355953@1788928573,2026-09-09T04:36:13.626083+00:00,4355953,XRP,15m,2026-09-09T04:30:00+00:00,0.000805,373.6,,0.4151,UP,0.64,,1,2026-09-09T04:45:00+00:00,526.4,0.004377,0.000315,,UP,CONTINUED,2,0.1.0
4355963@1788928573,2026-09-09T04:36:13.626083+00:00,4355963,ETH,15m,2026-09-09T04:30:00+00:00,0.000533,373.6,,0.4151,UP,0.61,,1,2026-09-09T04:45:00+00:00,526.4,0.005928,0.000292,,UP,CONTINUED,2,0.1.0
4355964@1788928603,2026-09-09T04:36:43.626363+00:00,4355964,SOL,15m,2026-09-09T04:30:00+00:00,0.000722,403.6,,0.4485,UP,0.65,,1,2026-09-09T04:45:00+00:00,496.4,0.003609,0.000529,,UP,CONTINUED,2,0.1.0
4356175@1788928933,2026-09-09T04:42:13.629251+00:00,4356175,XRP,5m,2026-09-09T04:40:00+00:00,0.00161,133.6,,0.4454,UP,0.95,,1,2026-09-09T04:45:00+00:00,166.4,0.003779,0.00042,,UP,CONTINUED,2,0.1.0
4356177@1788928933,2026-09-09T04:42:13.629251+00:00,4356177,SOL,5m,2026-09-09T04:40:00+00:00,0.000721,133.6,,0.4454,UP,0.67,,1,2026-09-09T04:45:00+00:00,166.4,0.003126,0.000144,,UP,CONTINUED,2,0.1.0
4356171@1788929023,2026-09-09T04:43:43.630064+00:00,4356171,ETH,5m,2026-09-09T04:40:00+00:00,0.001764,223.6,0.9757,0.7454,UP,,0.00051881,1,2026-09-09T04:45:00+00:00,76.4,0.005511,0.001764,,UP,CONTINUED,2,0.1.0
4359428@1788942216,2026-09-09T08:23:36.192468+00:00,4359428,BTC,5m,2026-09-09T08:20:00+00:00,0.001028,216.2,,0.7206,UP,,,1,2026-09-09T08:25:00+00:00,83.8,0.001071,0.000723,,UP,CONTINUED,2,0.1.0
4359430@1788942216,2026-09-09T08:23:36.192468+00:00,4359430,XRP,5m,2026-09-09T08:20:00+00:00,0.000729,216.2,,0.7206,UP,0.79,,1,2026-09-09T08:25:00+00:00,83.8,0.000729,-0.000174,45.000379,DOWN,REVERSED,2,0.1.0
4359408@1788942216,2026-09-09T08:23:36.192468+00:00,4359408,BTC,15m,2026-09-09T08:15:00+00:00,0.00174,516.2,,0.5735,UP,0.96,,1,2026-09-09T08:30:00+00:00,383.8,0.003159,0.001433,,UP,CONTINUED,2,0.1.0
4359410@1788942216,2026-09-09T08:23:36.192468+00:00,4359410,XRP,15m,2026-09-09T08:15:00+00:00,0.000868,516.2,,0.5735,UP,0.72,,1,2026-09-09T08:30:00+00:00,383.8,0.000868,-0.000659,60.000507,DOWN,REVERSED,2,0.1.0
4359413@1788942216,2026-09-09T08:23:36.192468+00:00,4359413,ETH,15m,2026-09-09T08:15:00+00:00,0.000936,516.2,,0.5735,UP,0.76,,1,2026-09-09T08:30:00+00:00,383.8,0.002169,0.000459,,UP,CONTINUED,2,0.1.0
4359417@1788942216,2026-09-09T08:23:36.192468+00:00,4359417,SOL,15m,2026-09-09T08:15:00+00:00,0.001051,516.2,,0.5735,UP,0.79,,1,2026-09-09T08:30:00+00:00,383.8,0.003153,0.000478,,UP,CONTINUED,2,0.1.0
4359435@1788942426,2026-09-09T08:27:06.194363+00:00,4359435,SOL,5m,2026-09-09T08:25:00+00:00,0.001146,126.2,,0.4206,UP,0.88,,1,2026-09-09T08:30:00+00:00,173.8,0.002483,0.001146,,UP,CONTINUED,2,0.1.0
4359438@1788942426,2026-09-09T08:27:06.194363+00:00,4359438,BTC,5m,2026-09-09T08:25:00+00:00,0.000527,126.2,,0.4206,UP,0.85,,1,2026-09-09T08:30:00+00:00,173.8,0.001492,0.000455,,UP,CONTINUED,2,0.1.0
4359433@1788942486,2026-09-09T08:28:06.194947+00:00,4359433,ETH,5m,2026-09-09T08:25:00+00:00,0.000514,186.2,,0.6206,UP,0.95,0.00034305,1,2026-09-09T08:30:00+00:00,113.8,0.001229,0.000471,,UP,CONTINUED,2,0.1.0
4359439@1788942501,2026-09-09T08:28:21.195065+00:00,4359439,XRP,5m,2026-09-09T08:25:00+00:00,0.000764,201.2,0.3331,0.6707,UP,0.39,0.00015588,1,2026-09-09T08:30:00+00:00,98.8,0.000764,-0.000208,45.000475,UP,CONTINUED,2,0.1.0
4359538@1788942741,2026-09-09T08:32:21.197273+00:00,4359538,ETH,5m,2026-09-09T08:30:00+00:00,0.00052,141.2,,0.4707,UP,0.62,,1,2026-09-09T08:35:00+00:00,158.8,0.000949,0.000357,,UP,CONTINUED,2,0.1.0
4359585@1788943026,2026-09-09T08:37:06.199963+00:00,4359585,ETH,5m,2026-09-09T08:35:00+00:00,-0.001039,126.2,,0.4207,DOWN,0.92,,1,2026-09-09T08:40:00+00:00,173.8,-0.00192,-0.001039,,DOWN,CONTINUED,2,0.1.0
4359587@1788943026,2026-09-09T08:37:06.199963+00:00,4359587,XRP,5m,2026-09-09T08:35:00+00:00,-0.00059,126.2,,0.4207,DOWN,0.6,,1,2026-09-09T08:40:00+00:00,173.8,-0.001908,-0.00059,,DOWN,CONTINUED,2,0.1.0
4359588@1788943026,2026-09-09T08:37:06.199963+00:00,4359588,BTC,5m,2026-09-09T08:35:00+00:00,-0.000616,126.2,,0.4207,DOWN,0.86,,1,2026-09-09T08:40:00+00:00,173.8,-0.001348,-0.000598,,DOWN,CONTINUED,2,0.1.0
4359591@1788943041,2026-09-09T08:37:21.200127+00:00,4359591,SOL,5m,2026-09-09T08:35:00+00:00,-0.001429,141.2,,0.4707,DOWN,0.97,,1,2026-09-09T08:40:00+00:00,158.8,-0.002001,-0.001239,,DOWN,CONTINUED,2,0.1.0
4359534@1788942966,2026-09-09T08:36:06.199348+00:00,4359534,ETH,15m,2026-09-09T08:30:00+00:00,0.001159,366.2,,0.4069,UP,0.74,,1,2026-09-09T08:45:00+00:00,533.8,0.001159,-0.001171,45.000452,DOWN,REVERSED,2,0.1.0
4359542@1788942966,2026-09-09T08:36:06.199348+00:00,4359542,BTC,15m,2026-09-09T08:30:00+00:00,0.000912,366.2,,0.4069,UP,0.78,,1,2026-09-09T08:45:00+00:00,533.8,0.000912,-0.000927,60.000615,DOWN,REVERSED,2,0.1.0
4359546@1788942966,2026-09-09T08:36:06.199348+00:00,4359546,SOL,15m,2026-09-09T08:30:00+00:00,0.001001,366.2,,0.4069,UP,0.76,,1,2026-09-09T08:45:00+00:00,533.8,0.001001,-0.001763,45.000452,DOWN,REVERSED,2,0.1.0
4359548@1788942966,2026-09-09T08:36:06.199348+00:00,4359548,XRP,15m,2026-09-09T08:30:00+00:00,0.000972,366.2,,0.4069,UP,0.75,,1,2026-09-09T08:45:00+00:00,533.8,0.000972,-0.001319,75.000779,DOWN,REVERSED,2,0.1.0
4359723@1788943341,2026-09-09T08:42:21.203297+00:00,4359723,ETH,5m,2026-09-09T08:40:00+00:00,0.000548,141.2,,0.4707,UP,0.79,,1,2026-09-09T08:45:00+00:00,158.8,0.0006,-0.000469,75.000761,DOWN,REVERSED,2,0.1.0
4359724@1788943386,2026-09-09T08:43:06.203762+00:00,4359724,BTC,5m,2026-09-09T08:40:00+00:00,0.000657,186.2,,0.6207,UP,0.97,0.00034088,1,2026-09-09T08:45:00+00:00,113.8,0.000657,-0.000319,30.000296,DOWN,REVERSED,2,0.1.0
4359725@1788943386,2026-09-09T08:43:06.203762+00:00,4359725,XRP,5m,2026-09-09T08:40:00+00:00,0.000625,186.2,,0.6207,UP,0.9,0.00046925,1,2026-09-09T08:45:00+00:00,113.8,0.000625,-0.001111,15.000142,DOWN,REVERSED,2,0.1.0
4359722@1788943446,2026-09-09T08:44:06.204359+00:00,4359722,SOL,5m,2026-09-09T08:40:00+00:00,-0.00062,246.2,1.0,0.8207,DOWN,0.98,0.00028221,1,2026-09-09T08:45:00+00:00,53.8,-0.000715,-0.00062,,DOWN,CONTINUED,2,0.1.0
4360337@1788949420,2026-09-09T10:23:40.712009+00:00,4360337,ETH,5m,2026-09-09T10:20:00+00:00,-0.000548,220.7,,0.7357,DOWN,0.52,,1,2026-09-09T10:25:00+00:00,79.3,-0.000708,-0.00052,,DOWN,CONTINUED,2,0.1.0
4360340@1788949450,2026-09-09T10:24:10.712295+00:00,4360340,SOL,5m,2026-09-09T10:20:00+00:00,-0.000578,250.7,1.0,0.8357,DOWN,0.34,0.00019829,1,2026-09-09T10:25:00+00:00,49.3,-0.000578,-0.000289,,DOWN,CONTINUED,2,0.1.0
4360366@1788950005,2026-09-09T10:33:25.717661+00:00,4360366,XRP,5m,2026-09-09T10:30:00+00:00,0.000879,205.7,1.273,0.6857,UP,0.86,0.00043209,1,2026-09-09T10:35:00+00:00,94.3,0.002004,0.000879,,UP,CONTINUED,2,0.1.0
4360374@1788950020,2026-09-09T10:33:40.717848+00:00,4360374,ETH,5m,2026-09-09T10:30:00+00:00,0.00065,220.7,0.6728,0.7357,UP,0.89,0.00014875,1,2026-09-09T10:35:00+00:00,79.3,0.000763,5.2e-05,,UP,CONTINUED,2,0.1.0
4360377@1788950020,2026-09-09T10:33:40.717848+00:00,4360377,SOL,5m,2026-09-09T10:30:00+00:00,0.000722,220.7,0.3331,0.7357,UP,0.82,0.00018228,1,2026-09-09T10:35:00+00:00,79.3,0.001396,0.00053,,UP,CONTINUED,2,0.1.0
4360420@1788950230,2026-09-09T10:37:10.719787+00:00,4360420,SOL,5m,2026-09-09T10:35:00+00:00,-0.000865,130.7,,0.4357,DOWN,0.74,,1,2026-09-09T10:40:00+00:00,169.3,-0.000865,0.000481,60.000644,DOWN,CONTINUED,2,0.1.0
4360421@1788950230,2026-09-09T10:37:10.719787+00:00,4360421,ETH,5m,2026-09-09T10:35:00+00:00,-0.001252,130.7,,0.4357,DOWN,0.92,,1,2026-09-09T10:40:00+00:00,169.3,-0.001252,0.000156,90.00102,DOWN,CONTINUED,2,0.1.0
4360425@1788950230,2026-09-09T10:37:10.719787+00:00,4360425,XRP,5m,2026-09-09T10:35:00+00:00,-0.001369,130.7,,0.4357,DOWN,0.84,,1,2026-09-09T10:40:00+00:00,169.3,-0.001369,0.000386,90.00102,DOWN,CONTINUED,2,0.1.0
4360370@1788950170,2026-09-09T10:36:10.719257+00:00,4360370,XRP,15m,2026-09-09T10:30:00+00:00,0.001301,370.7,,0.4119,UP,0.81,,1,2026-09-09T10:45:00+00:00,529.3,0.002215,-0.000316,345.003411,DOWN,REVERSED,2,0.1.0
4360381@1788950170,2026-09-09T10:36:10.719257+00:00,4360381,SOL,15m,2026-09-09T10:30:00+00:00,0.001011,370.7,,0.4119,UP,0.63,,1,2026-09-09T10:45:00+00:00,529.3,0.001781,-0.000722,315.003137,DOWN,REVERSED,2,0.1.0
4360373@1788950215,2026-09-09T10:36:55.719659+00:00,4360373,ETH,15m,2026-09-09T10:30:00+00:00,-0.000558,415.7,,0.4619,DOWN,0.72,,1,2026-09-09T10:45:00+00:00,484.3,-0.000843,0.000751,45.000438,DOWN,CONTINUED,2,0.1.0
4360459@1788950530,2026-09-09T10:42:10.722786+00:00,4360459,XRP,5m,2026-09-09T10:40:00+00:00,-0.001054,130.7,,0.4357,DOWN,0.9,,1,2026-09-09T10:45:00+00:00,169.3,-0.001054,0.0,,DOWN,CONTINUED,2,0.1.0
4360460@1788950530,2026-09-09T10:42:10.722786+00:00,4360460,ETH,5m,2026-09-09T10:40:00+00:00,-0.000664,130.7,,0.4357,DOWN,0.88,,1,2026-09-09T10:45:00+00:00,169.3,-0.000664,-5.4e-05,,DOWN,CONTINUED,2,0.1.0
4360463@1788950530,2026-09-09T10:42:10.722786+00:00,4360463,SOL,5m,2026-09-09T10:40:00+00:00,-0.001203,130.7,,0.4357,DOWN,0.94,,1,2026-09-09T10:45:00+00:00,169.3,-0.001203,-0.000144,,DOWN,CONTINUED,2,0.1.0
