move_id,detected_at,market_id,asset,window,move_start,initial_move,duration_so_far_sec,acceleration_so_far,elapsed_at_detect,direction,entry_ask_at_detect,volatility_at_detect,outcome_ready,move_end,move_duration_sec,max_continuation,max_reversal,time_to_reversal_sec,final_direction,resolution,schema_version,collector_version
4459011@1789179847,2026-09-12T02:24:07.107836+00:00,4459011,ETH,5m,2026-09-12T02:20:00+00:00,0.000543,247.1,0.3946,0.8237,UP,,4.289e-05,1,2026-09-12T02:25:00+00:00,52.9,0.00071,0.000491,,UP,CONTINUED,2,0.1.0
4459009@1789179877,2026-09-12T02:24:37.108046+00:00,4459009,XRP,5m,2026-09-12T02:20:00+00:00,0.000551,277.1,0.8333,0.9237,UP,,0.00016146,1,2026-09-12T02:25:00+00:00,22.9,0.000551,0.000477,,UP,CONTINUED,2,0.1.0
4458997@1789179697,2026-09-12T02:21:37.106536+00:00,4458997,XRP,15m,2026-09-12T02:15:00+00:00,0.000992,397.1,,0.4412,UP,0.77,,1,2026-09-12T02:30:00+00:00,502.9,0.00158,0.000919,,UP,CONTINUED,2,0.1.0
4458993@1789179862,2026-09-12T02:24:22.107960+00:00,4458993,SOL,15m,2026-09-12T02:15:00+00:00,0.000737,562.1,0.7999,0.6246,UP,0.54,0.00016411,1,2026-09-12T02:30:00+00:00,337.9,0.000737,-0.000246,60.000465,DOWN,REVERSED,2,0.1.0
4458996@1789179862,2026-09-12T02:24:22.107960+00:00,4458996,ETH,15m,2026-09-12T02:15:00+00:00,0.000591,562.1,0.4506,0.6246,UP,0.7,5.084e-05,1,2026-09-12T02:30:00+00:00,337.9,0.000806,0.000177,,UP,CONTINUED,2,0.1.0
4459032@1789180477,2026-09-12T02:34:37.113153+00:00,4459032,SOL,5m,2026-09-12T02:30:00+00:00,-0.000639,277.1,0.7501,0.9237,DOWN,,0.0002117,1,2026-09-12T02:35:00+00:00,22.9,-0.000933,-0.000639,,DOWN,CONTINUED,2,0.1.0
4459025@1789180492,2026-09-12T02:34:52.113275+00:00,4459025,XRP,5m,2026-09-12T02:30:00+00:00,-0.000624,292.1,0.889,0.9737,DOWN,,0.0001793,1,2026-09-12T02:35:00+00:00,7.9,-0.000624,-0.000624,,DOWN,CONTINUED,2,0.1.0
4459158@1789180642,2026-09-12T02:37:22.114561+00:00,4459158,XRP,5m,2026-09-12T02:35:00+00:00,0.000587,142.1,,0.4737,UP,0.92,,1,2026-09-12T02:40:00+00:00,157.9,0.000881,0.000147,,UP,CONTINUED,2,0.1.0
4459160@1789180657,2026-09-12T02:37:37.114685+00:00,4459160,ETH,5m,2026-09-12T02:35:00+00:00,0.000621,157.1,,0.5237,UP,0.59,,1,2026-09-12T02:40:00+00:00,142.9,0.000621,4e-06,,UP,CONTINUED,2,0.1.0
4459156@1789180732,2026-09-12T02:38:52.115309+00:00,4459156,SOL,5m,2026-09-12T02:35:00+00:00,-0.00054,232.1,0.8334,0.7737,DOWN,0.47,0.0002129,1,2026-09-12T02:40:00+00:00,67.9,-0.00054,0.000147,45.000384,DOWN,CONTINUED,2,0.1.0
4461008@1789186925,2026-09-12T04:22:05.626291+00:00,4461008,XRP,5m,2026-09-12T04:20:00+00:00,0.000587,125.6,,0.4188,UP,0.86,,1,2026-09-12T04:25:00+00:00,174.4,0.000807,0.000514,,UP,CONTINUED,2,0.1.0
4461006@1789187030,2026-09-12T04:23:50.627189+00:00,4461006,SOL,5m,2026-09-12T04:20:00+00:00,0.00059,230.6,0.6666,0.7688,UP,0.98,0.00021592,1,2026-09-12T04:25:00+00:00,69.4,0.00059,0.000394,,UP,CONTINUED,2,0.1.0
4460469@1789186865,2026-09-12T04:21:05.625829+00:00,4460469,ETH,15m,2026-09-12T04:15:00+00:00,-0.00069,365.6,,0.4063,DOWN,0.76,,1,2026-09-12T04:30:00+00:00,534.4,-0.000969,-0.000336,,DOWN,CONTINUED,2,0.1.0
4460472@1789186865,2026-09-12T04:21:05.625829+00:00,4460472,XRP,15m,2026-09-12T04:15:00+00:00,-0.00066,365.6,,0.4063,DOWN,0.66,,1,2026-09-12T04:30:00+00:00,534.4,-0.000806,0.000293,450.003647,UP,REVERSED,2,0.1.0
4460479@1789186955,2026-09-12T04:22:35.626521+00:00,4460479,SOL,15m,2026-09-12T04:15:00+00:00,-0.000787,455.6,1.0,0.5063,DOWN,0.7,0.00015727,1,2026-09-12T04:30:00+00:00,444.4,-0.000787,0.000688,315.002609,UP,REVERSED,2,0.1.0
4461396@1789187315,2026-09-12T04:28:35.629476+00:00,4461396,XRP,5m,2026-09-12T04:25:00+00:00,0.000513,215.6,1.1429,0.7188,UP,0.9,0.00024111,1,2026-09-12T04:30:00+00:00,84.4,0.000733,0.000367,,UP,CONTINUED,2,0.1.0
4461398@1789187315,2026-09-12T04:28:35.629476+00:00,4461398,SOL,5m,2026-09-12T04:25:00+00:00,0.00059,215.6,0.3333,0.7188,UP,0.98,0.00010994,1,2026-09-12T04:30:00+00:00,84.4,0.000984,0.00059,,UP,CONTINUED,2,0.1.0
4461401@1789187390,2026-09-12T04:29:50.630126+00:00,4461401,ETH,5m,2026-09-12T04:25:00+00:00,0.000502,290.6,0.5659,0.9688,UP,,8.091e-05,1,2026-09-12T04:30:00+00:00,9.4,0.000502,0.000502,,UP,CONTINUED,2,0.1.0
4460461@1789186865,2026-09-12T04:21:05.625829+00:00,4460461,BTC,15m,2026-09-12T04:15:00+00:00,-0.000611,365.6,,0.4063,DOWN,0.75,,1,2026-09-12T04:30:00+00:00,534.4,-0.000852,-0.000487,,DOWN,CONTINUED,2,0.1.0
4461484@1789187825,2026-09-12T04:37:05.633794+00:00,4461484,XRP,5m,2026-09-12T04:35:00+00:00,0.000696,125.6,,0.4188,UP,0.85,,1,2026-09-12T04:40:00+00:00,174.4,0.001063,0.000696,,UP,CONTINUED,2,0.1.0
4461483@1789187840,2026-09-12T04:37:20.633910+00:00,4461483,ETH,5m,2026-09-12T04:35:00+00:00,0.000595,140.6,,0.4688,UP,0.84,,1,2026-09-12T04:40:00+00:00,159.4,0.000734,0.000579,,UP,CONTINUED,2,0.1.0
