move_id,detected_at,market_id,asset,window,move_start,initial_move,duration_so_far_sec,acceleration_so_far,elapsed_at_detect,direction,entry_ask_at_detect,volatility_at_detect,outcome_ready,move_end,move_duration_sec,max_continuation,max_reversal,time_to_reversal_sec,final_direction,resolution,schema_version,collector_version
4870248@1790216524,2026-09-24T02:22:04.164285+00:00,4870248,BTC,5m,2026-09-24T02:20:00+00:00,-0.000559,124.2,,0.4139,DOWN,0.88,,1,2026-09-24T02:25:00+00:00,175.8,-0.001445,-0.000559,,DOWN,CONTINUED,2,0.1.0
4870249@1790216524,2026-09-24T02:22:04.164285+00:00,4870249,SOL,5m,2026-09-24T02:20:00+00:00,-0.000869,124.2,,0.4139,DOWN,0.75,,1,2026-09-24T02:25:00+00:00,175.8,-0.001913,-0.000869,,DOWN,CONTINUED,2,0.1.0
4870250@1790216524,2026-09-24T02:22:04.164285+00:00,4870250,ETH,5m,2026-09-24T02:20:00+00:00,-0.000896,124.2,,0.4139,DOWN,0.9,,1,2026-09-24T02:25:00+00:00,175.8,-0.002119,-0.000896,,DOWN,CONTINUED,2,0.1.0
4870253@1790216539,2026-09-24T02:22:19.164417+00:00,4870253,XRP,5m,2026-09-24T02:20:00+00:00,-0.000634,139.2,,0.4639,DOWN,0.72,,1,2026-09-24T02:25:00+00:00,160.8,-0.002835,-0.000634,,DOWN,CONTINUED,2,0.1.0
4870233@1790216509,2026-09-24T02:21:49.164185+00:00,4870233,ETH,15m,2026-09-24T02:15:00+00:00,0.001921,409.2,,0.4546,UP,0.96,,1,2026-09-24T02:30:00+00:00,490.8,0.00197,0.000662,,UP,CONTINUED,2,0.1.0
4870234@1790216509,2026-09-24T02:21:49.164185+00:00,4870234,XRP,15m,2026-09-24T02:15:00+00:00,0.003516,409.2,,0.4546,UP,0.95,,1,2026-09-24T02:30:00+00:00,490.8,0.004252,0.000837,,UP,CONTINUED,2,0.1.0
4870236@1790216509,2026-09-24T02:21:49.164185+00:00,4870236,BTC,15m,2026-09-24T02:15:00+00:00,0.001933,409.2,,0.4546,UP,0.94,,1,2026-09-24T02:30:00+00:00,490.8,0.001933,0.000907,,UP,CONTINUED,2,0.1.0
4870238@1790216509,2026-09-24T02:21:49.164185+00:00,4870238,SOL,15m,2026-09-24T02:15:00+00:00,0.003493,409.2,,0.4546,UP,0.987,,1,2026-09-24T02:30:00+00:00,490.8,0.003755,0.002009,,UP,CONTINUED,2,0.1.0
4870305@1790216839,2026-09-24T02:27:19.166259+00:00,4870305,SOL,5m,2026-09-24T02:25:00+00:00,-0.000566,139.2,,0.4639,DOWN,0.72,,1,2026-09-24T02:30:00+00:00,160.8,-0.000827,0.000827,105.000648,UP,REVERSED,2,0.1.0
4870307@1790216899,2026-09-24T02:28:19.166651+00:00,4870307,XRP,5m,2026-09-24T02:25:00+00:00,-0.000535,199.2,0.2859,0.6639,DOWN,0.76,0.00030025,1,2026-09-24T02:30:00+00:00,100.8,-0.000535,0.001404,15.000084,UP,REVERSED,2,0.1.0
4870306@1790216959,2026-09-24T02:29:19.166998+00:00,4870306,BTC,5m,2026-09-24T02:25:00+00:00,0.000655,259.2,0.6452,0.8639,UP,,0.00018512,1,2026-09-24T02:30:00+00:00,40.8,0.000757,0.000655,,UP,CONTINUED,2,0.1.0
4870311@1790216959,2026-09-24T02:29:19.166998+00:00,4870311,ETH,5m,2026-09-24T02:25:00+00:00,0.0007,259.2,0.6288,0.8639,UP,,0.00019521,1,2026-09-24T02:30:00+00:00,40.8,0.000887,0.0007,,UP,CONTINUED,2,0.1.0
4870315@1790217124,2026-09-24T02:32:04.167997+00:00,4870315,SOL,5m,2026-09-24T02:30:00+00:00,-0.00074,124.2,,0.4139,DOWN,0.88,,1,2026-09-24T02:35:00+00:00,175.8,-0.00074,0.001611,15.000094,DOWN,CONTINUED,2,0.1.0
4870324@1790217124,2026-09-24T02:32:04.167997+00:00,4870324,ETH,5m,2026-09-24T02:30:00+00:00,-0.00059,124.2,,0.4139,DOWN,0.77,,1,2026-09-24T02:35:00+00:00,175.8,-0.00059,0.001011,15.000094,DOWN,CONTINUED,2,0.1.0
4870326@1790217139,2026-09-24T02:32:19.168091+00:00,4870326,XRP,5m,2026-09-24T02:30:00+00:00,0.001102,139.2,,0.4639,UP,0.84,,1,2026-09-24T02:35:00+00:00,160.8,0.002772,0.001102,,UP,CONTINUED,2,0.1.0
4870328@1790217154,2026-09-24T02:32:34.168375+00:00,4870328,BTC,5m,2026-09-24T02:30:00+00:00,0.000527,154.2,,0.5139,UP,0.9,,1,2026-09-24T02:35:00+00:00,145.8,0.00137,0.000527,,UP,CONTINUED,2,0.1.0
4870457@1790217424,2026-09-24T02:37:04.170008+00:00,4870457,SOL,5m,2026-09-24T02:35:00+00:00,0.000653,124.2,,0.4139,UP,0.27,,1,2026-09-24T02:40:00+00:00,175.8,0.001611,0.000392,,UP,CONTINUED,2,0.1.0
4870455@1790217499,2026-09-24T02:38:19.170460+00:00,4870455,XRP,5m,2026-09-24T02:35:00+00:00,0.000667,199.2,1.0,0.6639,UP,0.43,0.00034377,1,2026-09-24T02:40:00+00:00,100.8,0.001267,0.000667,,UP,CONTINUED,2,0.1.0
4870460@1790217499,2026-09-24T02:38:19.170460+00:00,4870460,ETH,5m,2026-09-24T02:35:00+00:00,0.000523,199.2,0.7444,0.6639,UP,0.7,0.00023014,1,2026-09-24T02:40:00+00:00,100.8,0.00062,0.000172,,UP,CONTINUED,2,0.1.0
4870462@1790217499,2026-09-24T02:38:19.170460+00:00,4870462,BTC,5m,2026-09-24T02:35:00+00:00,0.000598,199.2,0.779,0.6639,UP,0.56,0.00022142,1,2026-09-24T02:40:00+00:00,100.8,0.000728,0.000413,,UP,CONTINUED,2,0.1.0
4870329@1790217364,2026-09-24T02:36:04.169652+00:00,4870329,XRP,15m,2026-09-24T02:30:00+00:00,0.000835,364.2,,0.4046,UP,0.62,,1,2026-09-24T02:45:00+00:00,535.8,0.004442,0.000835,,UP,CONTINUED,2,0.1.0
4870320@1790217409,2026-09-24T02:36:49.169917+00:00,4870320,SOL,15m,2026-09-24T02:30:00+00:00,0.000653,409.2,,0.4546,UP,0.57,,1,2026-09-24T02:45:00+00:00,490.8,0.003352,0.000218,,UP,CONTINUED,2,0.1.0
4870325@1790217499,2026-09-24T02:38:19.170460+00:00,4870325,BTC,15m,2026-09-24T02:30:00+00:00,0.000946,499.2,0.6776,0.5546,UP,0.86,0.00018621,1,2026-09-24T02:45:00+00:00,400.8,0.002068,0.000761,,UP,CONTINUED,2,0.1.0
4870317@1790217604,2026-09-24T02:40:04.171097+00:00,4870317,ETH,15m,2026-09-24T02:30:00+00:00,0.000515,604.2,0.4118,0.6713,UP,0.77,0.00023022,1,2026-09-24T02:45:00+00:00,295.8,0.002168,0.000515,,UP,CONTINUED,2,0.1.0
4870893@1790217724,2026-09-24T02:42:04.172241+00:00,4870893,ETH,5m,2026-09-24T02:40:00+00:00,0.00091,124.2,,0.4139,UP,0.98,,1,2026-09-24T02:45:00+00:00,175.8,0.001436,0.000802,,UP,CONTINUED,2,0.1.0
4870895@1790217724,2026-09-24T02:42:04.172241+00:00,4870895,XRP,5m,2026-09-24T02:40:00+00:00,0.000666,124.2,,0.4139,UP,0.84,,1,2026-09-24T02:45:00+00:00,175.8,0.001865,0.000666,,UP,CONTINUED,2,0.1.0
4870899@1790217724,2026-09-24T02:42:04.172241+00:00,4870899,BTC,5m,2026-09-24T02:40:00+00:00,0.000698,124.2,,0.4139,UP,0.96,,1,2026-09-24T02:45:00+00:00,175.8,0.000757,0.000514,,UP,CONTINUED,2,0.1.0
4870900@1790217724,2026-09-24T02:42:04.172241+00:00,4870900,SOL,5m,2026-09-24T02:40:00+00:00,0.001391,124.2,,0.4139,UP,0.97,,1,2026-09-24T02:45:00+00:00,175.8,0.002,0.001391,,UP,CONTINUED,2,0.1.0
