event_id,asset,market_id,window,source_time,observation_time,market_time,reaction_time,observed_diff_ms,move_pct,poll_interval_ms,quality,note,collector_version
3949831@1787994259,SOL,3949831,5m,2026-08-29T09:04:16.428560621Z,2026-08-29T09:04:19.151914+00:00,1787994259602,,3173,,15000,LOW,observed timing difference; causality not established,0.1.0
3949833@1787994259,XRP,3949833,5m,2026-08-29T09:04:09.692428103Z,2026-08-29T09:04:19.151914+00:00,1787994260079,,10387,,15000,LOW,observed timing difference; causality not established,0.1.0
3949837@1787994259,ETH,3949837,5m,2026-08-29T09:04:18.436329340Z,2026-08-29T09:04:19.151914+00:00,1787994260099,,1663,,15000,LOW,observed timing difference; causality not established,0.1.0
3949839@1787994259,BTC,3949839,5m,2026-08-29T09:04:18.467200228Z,2026-08-29T09:04:19.151914+00:00,1787994260930,,2463,,15000,LOW,observed timing difference; causality not established,0.1.0
3949831@1787994274,SOL,3949831,5m,2026-08-29T09:04:32.152765190Z,2026-08-29T09:04:34.152043+00:00,1787994274585,,2432,,15000,LOW,observed timing difference; causality not established,0.1.0
3949833@1787994274,XRP,3949833,5m,2026-08-29T09:04:27.152668535Z,2026-08-29T09:04:34.152043+00:00,1787994275084,,7931,,15000,LOW,observed timing difference; causality not established,0.1.0
3949837@1787994274,ETH,3949837,5m,2026-08-29T09:04:26.042287762Z,2026-08-29T09:04:34.152043+00:00,1787994275459,,9417,,15000,LOW,observed timing difference; causality not established,0.1.0
3949839@1787994274,BTC,3949839,5m,2026-08-29T09:04:33.104097086Z,2026-08-29T09:04:34.152043+00:00,1787994275921,,2817,,15000,LOW,observed timing difference; causality not established,0.1.0
3949831@1787994289,SOL,3949831,5m,2026-08-29T09:04:48.297259391Z,2026-08-29T09:04:49.152173+00:00,1787994289612,,1315,,15000,LOW,observed timing difference; causality not established,0.1.0
3949833@1787994289,XRP,3949833,5m,2026-08-29T09:04:45.427738241Z,2026-08-29T09:04:49.152173+00:00,1787994290129,,4701,,15000,LOW,observed timing difference; causality not established,0.1.0
3949837@1787994289,ETH,3949837,5m,2026-08-29T09:04:44.483783510Z,2026-08-29T09:04:49.152173+00:00,1787994290101,,5617,,15000,LOW,observed timing difference; causality not established,0.1.0
3949839@1787994289,BTC,3949839,5m,2026-08-29T09:04:47.645429009Z,2026-08-29T09:04:49.152173+00:00,1787994290890,,3245,,15000,LOW,observed timing difference; causality not established,0.1.0
3949827@1787994364,XRP,3949827,15m,2026-08-29T09:05:57.625688419Z,2026-08-29T09:06:04.152798+00:00,1787994364677,,7051,,15000,LOW,observed timing difference; causality not established,0.1.0
3949838@1787994364,BTC,3949838,15m,2026-08-29T09:06:02.814893302Z,2026-08-29T09:06:04.152798+00:00,1787994365170,,2355,,15000,LOW,observed timing difference; causality not established,0.1.0
3949829@1787994364,ETH,3949829,15m,2026-08-29T09:05:57.955135731Z,2026-08-29T09:06:04.152798+00:00,1787994365630,,7675,,15000,LOW,observed timing difference; causality not established,0.1.0
3949830@1787994364,SOL,3949830,15m,2026-08-29T09:05:58.522192019Z,2026-08-29T09:06:04.152798+00:00,1787994366134,,7612,,15000,LOW,observed timing difference; causality not established,0.1.0
